"ID","Title","Overlapping genes","GO group size","n","E","P.Value","adj.P.Val","ontology"
"GO:0006641","triglyceride metabolic process",5,22,50,9.86818181818182,0.000103673446427489,0.126118943241269,"BP"
"GO:0006639","acylglycerol metabolic process",5,24,50,9.04583333333333,0.000161601637666364,0.126118943241269,"BP"
"GO:0006638","neutral lipid metabolic process",5,25,50,8.684,0.000198513559064507,0.126118943241269,"BP"
"GO:0019432","triglyceride biosynthetic process",4,14,50,12.4057142857143,0.000210490586772633,0.126118943241269,"BP"
"GO:0046460","neutral lipid biosynthetic process",4,14,50,12.4057142857143,0.000210490586772633,0.126118943241269,"BP"
"GO:0046463","acylglycerol biosynthetic process",4,14,50,12.4057142857143,0.000210490586772633,0.126118943241269,"BP"
"GO:0032787","monocarboxylic acid metabolic process",8,91,50,3.81714285714286,0.000881086619227117,0.452500913731641,"BP"
"GO:0006026","aminoglycan catabolic process",3,11,50,11.8418181818182,0.001666124812526,0.654768753818505,"BP"
"GO:0006027","glycosaminoglycan catabolic process",3,11,50,11.8418181818182,0.001666124812526,0.654768753818505,"BP"
"GO:0019752","carboxylic acid metabolic process",10,154,50,2.81948051948052,0.00208180280587098,0.654768753818505,"BP"
"GO:0043436","oxoacid metabolic process",11,182,50,2.62428571428571,0.00216982238693266,0.654768753818505,"BP"
"GO:0045669","positive regulation of osteoblast differentiation",3,12,50,10.855,0.00218559806559723,0.654768753818505,"BP"
"GO:0006082","organic acid metabolic process",11,185,50,2.58172972972973,0.0024770488363489,0.662306807347271,"BP"
"GO:0044283","small molecule biosynthetic process",7,84,50,3.61833333333333,0.00261114251342577,0.662306807347271,"BP"
"GO:0030204","chondroitin sulfate metabolic process",3,13,50,10.02,0.00279539566290328,0.662306807347271,"BP"
"GO:0016053","organic acid biosynthetic process",5,45,50,4.82444444444444,0.0032240955732628,0.662306807347271,"BP"
"GO:0046394","carboxylic acid biosynthetic process",5,45,50,4.82444444444444,0.0032240955732628,0.662306807347271,"BP"
"GO:1901136","carbohydrate derivative catabolic process",4,28,50,6.20285714285714,0.00339251692773762,0.662306807347271,"BP"
"GO:0050654","chondroitin sulfate proteoglycan metabolic process",3,14,50,9.30428571428572,0.00350036977457528,0.662306807347271,"BP"
"GO:0060429","epithelium development",10,170,50,2.55411764705882,0.00434340067396334,0.78072627114491,"BP"
"GO:1901565","organonitrogen compound catabolic process",5,50,50,4.342,0.00512676835534005,0.852539916870484,"BP"
"GO:0048754","branching morphogenesis of an epithelial tube",4,32,50,5.4275,0.00556747327885095,0.852539916870484,"BP"
"GO:0001676","long-chain fatty acid metabolic process",3,17,50,7.66235294117647,0.00622818700220615,0.852539916870484,"BP"
"GO:0006654","phosphatidic acid biosynthetic process",2,6,50,14.4733333333333,0.00735152640416829,0.852539916870484,"BP"
"GO:0035904","aorta development",2,6,50,14.4733333333333,0.00735152640416829,0.852539916870484,"BP"
"GO:0046473","phosphatidic acid metabolic process",2,6,50,14.4733333333333,0.00735152640416829,0.852539916870484,"BP"
"GO:0090311","regulation of protein deacetylation",2,6,50,14.4733333333333,0.00735152640416829,0.852539916870484,"BP"
"GO:0016877","ligase activity, forming carbon-sulfur bonds",2,6,50,14.4733333333333,0.00735152640416829,0.852539916870484,"MF"
"GO:0070016","armadillo repeat domain binding",2,6,50,14.4733333333333,0.00735152640416829,0.852539916870484,"MF"
"GO:0072349","modified amino acid transmembrane transporter activity",2,6,50,14.4733333333333,0.00735152640416829,0.852539916870484,"MF"
"GO:1901682","sulfur compound transmembrane transporter activity",2,6,50,14.4733333333333,0.00735152640416829,0.852539916870484,"MF"
"GO:0045778","positive regulation of ossification",3,19,50,6.85578947368421,0.00859209360852282,0.936017470383017,"BP"
"GO:2001236","regulation of extrinsic apoptotic signaling pathway",3,19,50,6.85578947368421,0.00859209360852282,0.936017470383017,"BP"
"GO:0008610","lipid biosynthetic process",7,105,50,2.89466666666667,0.00905795775965778,0.957745827822639,"BP"
"GO:0061138","morphogenesis of a branching epithelium",4,37,50,4.69405405405405,0.00939570039999388,0.9650726553708,"BP"
"GO:0045667","regulation of osteoblast differentiation",3,20,50,6.513,0.00994603900192757,0.968193759295792,"BP"
"GO:0030206","chondroitin sulfate biosynthetic process",2,7,50,12.4057142857143,0.0101412294924823,0.968193759295792,"BP"
"GO:0044712","single-organism catabolic process",9,166,50,2.35409638554217,0.0116995369018835,0.968193759295792,"BP"
"GO:0035384","thioester biosynthetic process",2,8,50,10.855,0.0133236911486828,0.968193759295792,"BP"
"GO:0043114","regulation of vascular permeability",2,8,50,10.855,0.0133236911486828,0.968193759295792,"BP"
"GO:0044273","sulfur compound catabolic process",2,8,50,10.855,0.0133236911486828,0.968193759295792,"BP"
"GO:0050650","chondroitin sulfate proteoglycan biosynthetic process",2,8,50,10.855,0.0133236911486828,0.968193759295792,"BP"
"GO:0060603","mammary gland duct morphogenesis",2,8,50,10.855,0.0133236911486828,0.968193759295792,"BP"
"GO:0071616","acyl-CoA biosynthetic process",2,8,50,10.855,0.0133236911486828,0.968193759295792,"BP"
"GO:0090102","cochlea development",2,8,50,10.855,0.0133236911486828,0.968193759295792,"BP"
"GO:0048729","tissue morphogenesis",7,113,50,2.68973451327434,0.0133461593682213,0.968193759295792,"BP"
"GO:0002009","morphogenesis of an epithelium",6,87,50,2.99448275862069,0.0133965634853165,0.968193759295792,"BP"
"GO:0001649","osteoblast differentiation",4,41,50,4.23609756097561,0.0134658380986897,0.968193759295792,"BP"
"GO:0001763","morphogenesis of a branching structure",4,41,50,4.23609756097561,0.0134658380986897,0.968193759295792,"BP"
"GO:0044272","sulfur compound biosynthetic process",4,41,50,4.23609756097561,0.0134658380986897,0.968193759295792,"BP"
"GO:0006790","sulfur compound metabolic process",5,64,50,3.3921875,0.0144800716575231,1,"BP"
"GO:0046486","glycerolipid metabolic process",5,66,50,3.28939393939394,0.0163964644133748,1,"BP"
"GO:0006637","acyl-CoA metabolic process",2,9,50,9.64888888888889,0.0168800778617738,1,"BP"
"GO:0032330","regulation of chondrocyte differentiation",2,9,50,9.64888888888889,0.0168800778617738,1,"BP"
