"ID","Title","Overlapping genes","GO group size","n","E","P.Value","adj.P.Val","ontology"
"GO:0045600","positive regulation of fat cell differentiation",4,8,85,12.7705882352941,0.000136013920716709,0.48897004497657,"BP"
"GO:0051966","regulation of synaptic transmission, glutamatergic",4,10,85,10.2164705882353,0.000384101402881128,0.690422271678828,"BP"
"GO:0001508","action potential",7,41,85,4.36068866571019,0.000837910635744034,0.728996330938838,"BP"
"GO:0008168","methyltransferase activity",5,21,85,6.0812324929972,0.00101390310283566,0.728996330938838,"MF"
"GO:0016741","transferase activity, transferring one-carbon groups",5,21,85,6.0812324929972,0.00101390310283566,0.728996330938838,"MF"
"GO:0019228","neuronal action potential",4,14,85,7.29747899159664,0.00162292353469876,0.972401684540342,"BP"
"GO:0032259","methylation",6,36,85,4.25686274509804,0.00228402812291891,1,"BP"
"GO:0044325","ion channel binding",6,38,85,4.0328173374613,0.00304001533773804,1,"MF"
"GO:0042391","regulation of membrane potential",10,96,85,2.66053921568627,0.00352624465076795,1,"BP"
"GO:0051057","positive regulation of small GTPase mediated signal transduction",3,9,85,8.51372549019608,0.00410198648275143,1,"BP"
"GO:0098900","regulation of action potential",3,9,85,8.51372549019608,0.00410198648275143,1,"BP"
"GO:0007270","neuron-neuron synaptic transmission",6,42,85,3.64873949579832,0.0050950431989785,1,"BP"
"GO:0045444","fat cell differentiation",5,30,85,4.25686274509804,0.00537715161251631,1,"BP"
"GO:0045598","regulation of fat cell differentiation",4,19,85,5.37708978328173,0.00540875143271332,1,"BP"
"GO:0008170","N-methyltransferase activity",3,10,85,7.66235294117647,0.00569536580269585,1,"MF"
"GO:0007610","behavior",15,191,85,2.0058515552818,0.00595456551387059,1,"BP"
"GO:0042803","protein homodimerization activity",11,120,85,2.34127450980392,0.00602582569609713,1,"MF"
"GO:0005319","lipid transporter activity",4,20,85,5.10823529411765,0.00656173579148474,1,"MF"
"GO:1903530","regulation of secretion by cell",12,139,85,2.20499365213711,0.00670477683492266,1,"BP"
"GO:0046983","protein dimerization activity",15,194,85,1.97483323226198,0.00688878495918953,1,"MF"
"GO:0086009","membrane repolarization",3,11,85,6.96577540106952,0.00761151319173125,1,"BP"
"GO:0035249","synaptic transmission, glutamatergic",4,21,85,4.86498599439776,0.00786710818881395,1,"BP"
"GO:0015081","sodium ion transmembrane transporter activity",5,33,85,3.8698752228164,0.00816598592236792,1,"MF"
"GO:0015672","monovalent inorganic cation transport",12,143,85,2.14331550802139,0.00839726550265578,1,"BP"
"GO:0050806","positive regulation of synaptic transmission",5,34,85,3.7560553633218,0.00928434958565368,1,"BP"
"GO:0006479","protein methylation",3,13,85,5.89411764705882,0.0124655372634272,1,"BP"
"GO:0008213","protein alkylation",3,13,85,5.89411764705882,0.0124655372634272,1,"BP"
"GO:0014075","response to amine",3,13,85,5.89411764705882,0.0124655372634272,1,"BP"
"GO:0071277","cellular response to calcium ion",3,13,85,5.89411764705882,0.0124655372634272,1,"BP"
"GO:0009306","protein secretion",9,98,85,2.34561824729892,0.0127325662521149,1,"BP"
"GO:0019226","transmission of nerve impulse",4,24,85,4.25686274509804,0.012772802487578,1,"BP"
"GO:0015077","monovalent inorganic cation transmembrane transporter activity",8,82,85,2.49182209469154,0.0132269412429179,1,"MF"
"GO:0050801","ion homeostasis",11,134,85,2.09666374012291,0.0135755579513465,1,"BP"
"GO:0051046","regulation of secretion",12,153,85,2.00322952710496,0.0141152341313266,1,"BP"
"GO:0055080","cation homeostasis",10,117,85,2.18300653594771,0.0141700504945526,1,"BP"
"GO:0072503","cellular divalent inorganic cation homeostasis",8,83,85,2.46180014174344,0.0141785826213246,1,"BP"
"GO:0050714","positive regulation of protein secretion",4,25,85,4.08658823529412,0.0147601815219539,1,"BP"
"GO:0046873","metal ion transmembrane transporter activity",10,118,85,2.16450648055832,0.0149914324946921,1,"MF"
"GO:0098771","inorganic ion homeostasis",10,119,85,2.1463173504696,0.0158481507649369,1,"BP"
"GO:0051592","response to calcium ion",4,26,85,3.92941176470588,0.016933324846737,1,"BP"
"GO:0044708","single-organism behavior",10,121,85,2.11084103062713,0.0176711284170442,1,"BP"
"GO:0031056","regulation of histone modification",3,15,85,5.10823529411765,0.0187413848481825,1,"BP"
"GO:0042220","response to cocaine",3,15,85,5.10823529411765,0.0187413848481825,1,"BP"
"GO:0006814","sodium ion transport",6,55,85,2.78631016042781,0.0187565226784722,1,"BP"
"GO:0033555","multicellular organismal response to stress",4,27,85,3.7838779956427,0.0192971550561453,1,"BP"
"GO:0098655","cation transmembrane transport",13,179,85,1.85494577719356,0.0195487960555388,1,"BP"
"GO:0042493","response to drug",8,88,85,2.32192513368984,0.0197040901491547,1,"BP"
"GO:0048878","chemical homeostasis",14,199,85,1.79686668637304,0.0199902942439902,1,"BP"
"GO:0044706","multi-multicellular organism process",5,41,85,3.11477761836442,0.0201811185805673,1,"BP"
"GO:0002377","immunoglobulin production",2,6,85,8.51372549019608,0.020510611487109,1,"BP"
"GO:0010657","muscle cell apoptotic process",2,6,85,8.51372549019608,0.020510611487109,1,"BP"
"GO:0010883","regulation of lipid storage",2,6,85,8.51372549019608,0.020510611487109,1,"BP"
"GO:0050995","negative regulation of lipid catabolic process",2,6,85,8.51372549019608,0.020510611487109,1,"BP"
"GO:2000463","positive regulation of excitatory postsynaptic potential",2,6,85,8.51372549019608,0.020510611487109,1,"BP"
"GO:0004712","protein serine/threonine/tyrosine kinase activity",2,6,85,8.51372549019608,0.020510611487109,1,"MF"
"GO:0072507","divalent inorganic cation homeostasis",8,89,85,2.29583608724389,0.0209720887177179,1,"BP"
"GO:0055065","metal ion homeostasis",9,107,85,2.14832325453546,0.0217404781953249,1,"BP"
"GO:0045471","response to ethanol",4,28,85,3.64873949579832,0.0218559957451661,1,"BP"
"GO:0035637","multicellular organismal signaling",6,57,85,2.68854489164087,0.022062047088494,1,"BP"
"GO:1903308","regulation of chromatin modification",3,16,85,4.78897058823529,0.0224250929020667,1,"BP"
"GO:0002039","p53 binding",3,16,85,4.78897058823529,0.0224250929020667,1,"MF"
"GO:0022890","inorganic cation transmembrane transporter activity",10,127,85,2.01111625752663,0.0240789775390967,1,"MF"
"GO:0098662","inorganic cation transmembrane transport",12,165,85,1.85754010695187,0.024483001404944,1,"BP"
"GO:0008324","cation transmembrane transporter activity",11,146,85,1.92433521353747,0.0245258381281108,1,"MF"
"GO:0033044","regulation of chromosome organization",4,29,85,3.52292089249493,0.0246135734590495,1,"BP"
"GO:0030674","protein binding, bridging",4,29,85,3.52292089249493,0.0246135734590495,1,"MF"
"GO:0060079","excitatory postsynaptic potential",3,17,85,4.50726643598616,0.0264748518921638,1,"BP"
"GO:1902275","regulation of chromatin organization",3,17,85,4.50726643598616,0.0264748518921638,1,"BP"
"GO:0008757","S-adenosylmethionine-dependent methyltransferase activity",3,17,85,4.50726643598616,0.0264748518921638,1,"MF"
"GO:0007613","memory",4,30,85,3.40549019607843,0.0275730229739007,1,"BP"
"GO:0019915","lipid storage",2,7,85,7.29747899159664,0.0279909953356043,1,"BP"
