"ID","Title","Overlapping genes","GO group size","n","E","P.Value","adj.P.Val","ontology"
"GO:0002253","activation of immune response",10,61,47,7.57237530519707,3.3224734034146e-07,0.00119442918852755,"BP"
"GO:0001775","cell activation",14,143,47,4.52224371373307,7.99152012859735e-07,0.00143647574311537,"BP"
"GO:0002757","immune response-activating signal transduction",9,55,47,7.55860735009671,1.42695117581219e-06,0.00159095537778445,"BP"
"GO:0002443","leukocyte mediated immunity",8,42,47,8.7983789260385,1.77018679030259e-06,0.00159095537778445,"BP"
"GO:0045087","innate immune response",13,137,47,4.38313402702283,3.14958805835081e-06,0.00211800736485106,"BP"
"GO:0050778","positive regulation of immune response",10,78,47,5.92198581560284,3.53492188848578e-06,0.00211800736485106,"BP"
"GO:0002250","adaptive immune response",7,34,47,9.51001251564456,4.87309345472633e-06,0.00250268156710588,"BP"
"GO:0097529","myeloid leukocyte migration",7,36,47,8.98167848699764,7.31817693878487e-06,0.00323635143005376,"BP"
"GO:0002252","immune effector process",11,105,47,4.83910840932118,8.1021315356005e-06,0.00323635143005376,"BP"
"GO:0031347","regulation of defense response",11,110,47,4.61914893617021,1.28076403313444e-05,0.0046043466991183,"BP"
"GO:0045088","regulation of innate immune response",7,40,47,8.08351063829787,1.53081639109738e-05,0.00471074584037235,"BP"
"GO:0031349","positive regulation of defense response",8,56,47,6.59878419452888,1.69603944895612e-05,0.00471074584037235,"BP"
"GO:0002274","myeloid leukocyte activation",6,28,47,9.89817629179331,1.95379680226912e-05,0.00471074584037235,"BP"
"GO:0071216","cellular response to biotic stimulus",6,28,47,9.89817629179331,1.95379680226912e-05,0.00471074584037235,"BP"
"GO:0045321","leukocyte activation",10,94,47,4.91398822996831,1.96554068443909e-05,0.00471074584037235,"BP"
"GO:0002684","positive regulation of immune system process",11,118,47,4.30598629642986,2.53131356977803e-05,0.0055097820002705,"BP"
"GO:0006954","inflammatory response",10,97,47,4.76200921254661,2.60546019484279e-05,0.0055097820002705,"BP"
"GO:0030168","platelet activation",8,60,47,6.15886524822695,2.86195406399233e-05,0.00571595825558469,"BP"
"GO:0001816","cytokine production",9,81,47,5.13238770685579,3.84486247469044e-05,0.00727488452448007,"BP"
"GO:0002263","cell activation involved in immune response",6,33,47,8.39845261121857,5.29218421684585e-05,0.00858071566198103,"BP"
"GO:0002366","leukocyte activation involved in immune response",6,33,47,8.39845261121857,5.29218421684585e-05,0.00858071566198103,"BP"
"GO:0030595","leukocyte chemotaxis",6,33,47,8.39845261121857,5.29218421684585e-05,0.00858071566198103,"BP"
"GO:0050776","regulation of immune response",11,128,47,3.96958111702128,5.48974854591276e-05,0.00858071566198103,"BP"
"GO:0030593","neutrophil chemotaxis",4,12,47,15.3971631205674,8.41685088518724e-05,0.0115860714918282,"BP"
"GO:0045089","positive regulation of innate immune response",6,36,47,7.69858156028369,8.86056822777659e-05,0.0115860714918282,"BP"
"GO:0009617","response to bacterium",8,70,47,5.2790273556231,8.96831064049451e-05,0.0115860714918282,"BP"
"GO:0002764","immune response-regulating signaling pathway",9,90,47,4.61914893617021,8.99336053969623e-05,0.0115860714918282,"BP"
"GO:0060326","cell chemotaxis",7,52,47,6.21808510638298,9.02392216331543e-05,0.0115860714918282,"BP"
"GO:0034109","homotypic cell-cell adhesion",8,73,47,5.06208102593996,0.000121587049369609,0.0150726014649567,"BP"
"GO:0002449","lymphocyte mediated immunity",5,26,47,8.88297872340426,0.000179202497644977,0.0198122244140326,"BP"
