"ID","Title","Overlapping genes","GO group size","n","E","P.Value","adj.P.Val","ontology"
"GO:1902936","phosphatidylinositol bisphosphate binding",3,13,49,10.2244897959184,0.00263684828760371,1,"MF"
"GO:0042552","myelination",3,16,49,8.30739795918367,0.00492241827563247,1,"BP"
"GO:0007272","ensheathment of neurons",3,17,49,7.8187274909964,0.00588302562368956,1,"BP"
"GO:0008366","axon ensheathment",3,17,49,7.8187274909964,0.00588302562368956,1,"BP"
"GO:0050771","negative regulation of axonogenesis",3,17,49,7.8187274909964,0.00588302562368956,1,"BP"
"GO:0060323","head morphogenesis",2,6,49,14.7687074829932,0.00706623083561848,1,"BP"
"GO:0006814","sodium ion transport",5,55,49,4.0278293135436,0.00708206716192782,1,"BP"
"GO:0006497","protein lipidation",3,20,49,6.64591836734694,0.00940446084456568,1,"BP"
"GO:0010171","body morphogenesis",2,7,49,12.6588921282799,0.00975067106011835,1,"BP"
"GO:0043331","response to dsRNA",2,7,49,12.6588921282799,0.00975067106011835,1,"BP"
"GO:0060324","face development",2,7,49,12.6588921282799,0.00975067106011835,1,"BP"
"GO:0042158","lipoprotein biosynthetic process",3,21,49,6.32944606413994,0.0107995162695962,1,"BP"
"GO:0050853","B cell receptor signaling pathway",2,8,49,11.0765306122449,0.0128144972836907,1,"BP"
"GO:0005227","calcium activated cation channel activity",2,8,49,11.0765306122449,0.0128144972836907,1,"MF"
"GO:0032266","phosphatidylinositol-3-phosphate binding",2,8,49,11.0765306122449,0.0128144972836907,1,"MF"
"GO:0048863","stem cell differentiation",4,44,49,4.0278293135436,0.0160209853650214,1,"BP"
"GO:0018345","protein palmitoylation",2,9,49,9.84580498866213,0.0162399282534175,1,"BP"
"GO:0048843","negative regulation of axon extension involved in axon guidance",2,9,49,9.84580498866213,0.0162399282534175,1,"BP"
"GO:0050982","detection of mechanical stimulus",2,9,49,9.84580498866213,0.0162399282534175,1,"BP"
"GO:0022839","ion gated channel activity",2,9,49,9.84580498866213,0.0162399282534175,1,"MF"
"GO:1901981","phosphatidylinositol phosphate binding",3,25,49,5.31673469387755,0.0175320232321837,1,"MF"
"GO:0007405","neuroblast proliferation",2,10,49,8.86122448979592,0.0200097639673831,1,"BP"
"GO:0048708","astrocyte differentiation",2,10,49,8.86122448979592,0.0200097639673831,1,"BP"
"GO:1902668","negative regulation of axon guidance",2,10,49,8.86122448979592,0.0200097639673831,1,"BP"
"GO:0008092","cytoskeletal protein binding",8,156,49,2.27210884353741,0.0212533350726322,1,"MF"
"GO:0060322","head development",8,159,49,2.22923886535746,0.0235813065776802,1,"BP"
"GO:0043543","protein acylation",3,28,49,4.74708454810496,0.0238189625745801,1,"BP"
"GO:0009064","glutamine family amino acid metabolic process",2,11,49,8.0556586270872,0.0241073693452036,1,"BP"
"GO:0030517","negative regulation of axon extension",2,11,49,8.0556586270872,0.0241073693452036,1,"BP"
"GO:0015079","potassium ion transmembrane transporter activity",4,50,49,3.54448979591837,0.0246227921601251,1,"MF"
"GO:0042157","lipoprotein metabolic process",3,29,49,4.58339197748065,0.0261527640927215,1,"BP"
"GO:0048841","regulation of axon extension involved in axon guidance",2,12,49,7.3843537414966,0.0285166583172723,1,"BP"
"GO:0016616","oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor",2,12,49,7.3843537414966,0.0285166583172723,1,"MF"
"GO:0010771","negative regulation of cell morphogenesis involved in differentiation",3,30,49,4.43061224489796,0.0286056082929965,1,"BP"
"GO:0010977","negative regulation of neuron projection development",3,31,49,4.28768926925609,0.0311771912980555,1,"BP"
"GO:0007043","cell-cell junction assembly",2,13,49,6.81632653061224,0.0332220783226666,1,"BP"
"GO:0034138","toll-like receptor 3 signaling pathway",2,13,49,6.81632653061224,0.0332220783226666,1,"BP"
"GO:1901879","regulation of protein depolymerization",2,13,49,6.81632653061224,0.0332220783226666,1,"BP"
"GO:0014031","mesenchymal cell development",3,32,49,4.15369897959184,0.0338670356291933,1,"BP"
"GO:0048864","stem cell development",3,32,49,4.15369897959184,0.0338670356291933,1,"BP"
"GO:0015077","monovalent inorganic cation transmembrane transporter activity",5,82,49,2.70159283225485,0.0352190210823355,1,"MF"
"GO:0015081","sodium ion transmembrane transporter activity",3,33,49,4.0278293135436,0.0366745003934488,1,"MF"
"GO:0035091","phosphatidylinositol binding",3,33,49,4.0278293135436,0.0366745003934488,1,"MF"
"GO:0008584","male gonad development",2,14,49,6.32944606413994,0.0382085952058932,1,"BP"
"GO:0043244","regulation of protein complex disassembly",2,14,49,6.32944606413994,0.0382085952058932,1,"BP"
"GO:0046546","development of primary male sexual characteristics",2,14,49,6.32944606413994,0.0382085952058932,1,"BP"
"GO:0051261","protein depolymerization",2,14,49,6.32944606413994,0.0382085952058932,1,"BP"
"GO:0015672","monovalent inorganic cation transport",7,143,49,2.16883116883117,0.0386609195415113,1,"BP"
"GO:0008017","microtubule binding",3,34,49,3.9093637454982,0.0395987910700707,1,"MF"
"GO:0010035","response to inorganic substance",5,86,49,2.57593735168486,0.0420314417400589,1,"BP"
"GO:0014074","response to purine-containing compound",3,35,49,3.79766763848397,0.0426389689093863,1,"BP"
"GO:0031345","negative regulation of cell projection organization",3,35,49,3.79766763848397,0.0426389689093863,1,"BP"
"GO:0048762","mesenchymal cell differentiation",3,35,49,3.79766763848397,0.0426389689093863,1,"BP"
"GO:0007338","single fertilization",2,15,49,5.90748299319728,0.0434616785028696,1,"BP"
"GO:0048846","axon extension involved in axon guidance",2,15,49,5.90748299319728,0.0434616785028696,1,"BP"
"GO:0050922","negative regulation of chemotaxis",2,15,49,5.90748299319728,0.0434616785028696,1,"BP"
