"ID","Title","Overlapping genes","GO group size","n","E","P.Value","adj.P.Val","ontology"
"GO:0006813","potassium ion transport",13,69,67,6.10491023145144,7.05058632240547e-08,0.000253468578290477,"BP"
"GO:0015079","potassium ion transmembrane transporter activity",10,50,67,6.48059701492537,1.53085185424304e-06,0.00220525186642444,"MF"
"GO:0005249","voltage-gated potassium channel activity",8,30,67,8.6407960199005,1.8402658134279e-06,0.00220525186642444,"MF"
"GO:0071804","cellular potassium ion transport",10,61,67,5.31196476633227,1.02652168098996e-05,0.00738069088631784,"BP"
"GO:0071805","potassium ion transmembrane transport",10,61,67,5.31196476633227,1.02652168098996e-05,0.00738069088631784,"BP"
"GO:0004930","G-protein coupled receptor activity",11,76,67,4.68990573448547,1.23444995165738e-05,0.00739641262701383,"MF"
"GO:0015672","monovalent inorganic cation transport",15,143,67,3.3989145183175,1.62405330404774e-05,0.00834067375435945,"BP"
"GO:0098662","inorganic cation transmembrane transport",16,165,67,3.14210764360018,2.21421708409482e-05,0.00892565247617334,"BP"
"GO:0042391","regulation of membrane potential",12,96,67,4.05037313432836,2.23451661434103e-05,0.00892565247617334,"BP"
"GO:0015077","monovalent inorganic cation transmembrane transporter activity",11,82,67,4.34674190025482,2.6065695605103e-05,0.00937061757003454,"MF"
"GO:0005267","potassium channel activity",8,43,67,6.02846233946546,3.31136069465262e-05,0.0108221288157056,"MF"
"GO:0046873","metal ion transmembrane transporter activity",13,118,67,3.56982038957754,3.90119877166882e-05,0.0112865831505976,"MF"
"GO:0022843","voltage-gated cation channel activity",9,57,67,5.11626080125687,4.08137916433294e-05,0.0112865831505976,"MF"
"GO:0098655","cation transmembrane transport",16,179,67,2.89635620778788,6.2069671923668e-05,0.015938605040399,"BP"
"GO:0022890","inorganic cation transmembrane transporter activity",13,127,67,3.31684099189094,8.57441111898721e-05,0.0205500053151727,"MF"
"GO:0005244","voltage-gated ion channel activity",9,64,67,4.5566697761194,0.000105167557060152,0.0222398451547791,"MF"
"GO:0022832","voltage-gated channel activity",9,64,67,4.5566697761194,0.000105167557060152,0.0222398451547791,"MF"
"GO:0098660","inorganic ion transmembrane transport",16,189,67,2.74310984758746,0.00012114522199603,0.0241953929486515,"BP"
"GO:0043269","regulation of ion transport",15,171,67,2.84236711180937,0.000137979400392723,0.0261071549690442,"BP"
"GO:0051954","positive regulation of amine transport",4,10,67,12.9611940298507,0.000151449633751161,0.0272230716667712,"BP"
"GO:0005057","receptor signaling protein activity",7,41,67,5.53221696396068,0.00018993570466396,0.032515183726997,"MF"
"GO:0008324","cation transmembrane transporter activity",13,146,67,2.88519730116541,0.000360136959237259,0.0588496531117249,"MF"
"GO:0099600","transmembrane receptor activity",15,187,67,2.59916992577221,0.000379346352859781,0.0592934842839527,"MF"
"GO:0007188","adenylate cyclase-modulating G-protein coupled receptor signaling pathway",7,46,67,4.93088903309539,0.000399990293961472,0.0599152127829788,"BP"
"GO:0005261","cation channel activity",10,94,67,3.44712607176881,0.000457386980832206,0.0657722478436712,"MF"
"GO:0007187","G-protein coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger",7,48,67,4.72543532338308,0.000523889471818814,0.0675440986686472,"BP"
"GO:0033605","positive regulation of catecholamine secretion",3,6,67,16.2014925373134,0.000526073647488768,0.0675440986686472,"BP"
"GO:0030955","potassium ion binding",3,6,67,16.2014925373134,0.000526073647488768,0.0675440986686472,"MF"
"GO:1903524","positive regulation of blood circulation",5,25,67,6.48059701492537,0.000792620049719338,0.0982575544393455,"BP"
"GO:0044325","ion channel binding",6,38,67,5.11626080125687,0.000874047176147234,0.101144927926219,"MF"
"GO:0007186","G-protein coupled receptor signaling pathway",13,160,67,2.63274253731343,0.000883755321715837,0.101144927926219,"BP"
"GO:0010107","potassium ion import",3,7,67,13.8869936034115,0.000900316465546319,0.101144927926219,"BP"
"GO:0007218","neuropeptide signaling pathway",5,26,67,6.23134328358209,0.000958094147211677,0.104374195734121,"BP"
"GO:0007193","adenylate cyclase-inhibiting G-protein coupled receptor signaling pathway",5,27,67,6.00055279159757,0.00114800188554586,0.121384317015805,"BP"
"GO:1903532","positive regulation of secretion by cell",7,55,67,4.12401628222524,0.00121617348048595,0.124918390352772,"BP"
"GO:0050951","sensory perception of temperature stimulus",3,8,67,12.1511194029851,0.00140876095958014,0.136878260802449,"BP"
"GO:0015662","ATPase activity, coupled to transmembrane movement of ions, phosphorylative mechanism",3,8,67,12.1511194029851,0.00140876095958014,0.136878260802449,"MF"
"GO:1903522","regulation of blood circulation",8,74,67,3.50302541347317,0.00160448705987368,0.148386186079743,"BP"
"GO:0051952","regulation of amine transport",5,29,67,5.58672156459084,0.00160975278361891,0.148386186079743,"BP"
"GO:0050906","detection of stimulus involved in sensory perception",4,18,67,7.20066334991708,0.00183025992798435,0.164494611027593,"BP"
"GO:0044057","regulation of system process",11,133,67,2.6799461339917,0.00200680977205481,0.175962954403342,"BP"
"GO:0031420","alkali metal ion binding",3,9,67,10.8009950248756,0.00206662811505988,0.176893525562863,"MF"
"GO:0004888","transmembrane signaling receptor activity",13,176,67,2.39340230664858,0.00215931984671044,0.179387544988044,"MF"
"GO:0015837","amine transport",5,31,67,5.2262879152624,0.0021955638329552,0.179387544988044,"BP"
"GO:1903779","regulation of cardiac conduction",4,19,67,6.8216810683425,0.0022649034741527,0.180940621990643,"BP"
"GO:0051047","positive regulation of secretion",7,63,67,3.60033167495854,0.00272570242216274,0.207605418389704,"BP"
"GO:1903530","regulation of secretion by cell",11,139,67,2.56426500590572,0.00286539548020449,0.207605418389704,"BP"
"GO:0045823","positive regulation of heart contraction",3,10,67,9.72089552238806,0.00288741889276361,0.207605418389704,"BP"
"GO:0019829","cation-transporting ATPase activity",3,10,67,9.72089552238806,0.00288741889276361,0.207605418389704,"MF"
"GO:0042625","ATPase coupled ion transmembrane transporter activity",3,10,67,9.72089552238806,0.00288741889276361,0.207605418389704,"MF"
