"ID","Title","Overlapping genes","GO group size","n","E","P.Value","adj.P.Val","ontology"
"GO:0001570","vasculogenesis",12,79,273,7.20934761441091,8.77381229230353e-08,0.000733139755144883,"BP"
"GO:1904018","positive regulation of vasculature development",14,129,273,5.15086463923673,5.4547886444183e-07,0.00227901069563797,"BP"
"GO:0001569","patterning of blood vessels",8,45,273,8.43760683760684,3.84343459016443e-06,0.0107052464784713,"BP"
"GO:0045766","positive regulation of angiogenesis",12,116,273,4.90981432360743,5.89997861849557e-06,0.0123250553340372,"BP"
"GO:0001935","endothelial cell proliferation",11,102,273,5.1184012066365,9.69682422920012e-06,0.013019344234117,"BP"
"GO:0001945","lymph vessel development",6,25,273,11.3907692307692,1.04700761145927e-05,0.013019344234117,"BP"
"GO:2001214","positive regulation of vasculogenesis",4,8,273,23.7307692307692,1.2626134994923e-05,0.013019344234117,"BP"
"GO:0019838","growth factor binding",12,126,273,4.52014652014652,1.38577576945177e-05,0.013019344234117,"MF"
"GO:0045446","endothelial cell differentiation",10,87,273,5.4553492484527,1.4022749893137e-05,0.013019344234117,"BP"
"GO:0030947","regulation of vascular endothelial growth factor receptor signaling pathway",6,27,273,10.5470085470085,1.68907600453398e-05,0.0141139190938859,"BP"
"GO:0045765","regulation of angiogenesis",15,199,273,3.57750289911094,2.06074231045305e-05,0.0156541479510416,"BP"
"GO:0048010","vascular endothelial growth factor receptor signaling pathway",7,42,273,7.91025641025641,2.4494872937973e-05,0.0170565965224752,"BP"
"GO:0002040","sprouting angiogenesis",8,62,273,6.12406947890819,4.42374800957583e-05,0.0284344910523197,"BP"
"GO:0003158","endothelium development",10,100,273,4.74615384615385,4.77203065504602e-05,0.0284822058239747,"BP"
"GO:0019199","transmembrane receptor protein kinase activity",9,82,273,5.20919324577861,5.48121441572789e-05,0.0305340184385482,"MF"
"GO:2001212","regulation of vasculogenesis",4,12,273,15.8205128205128,8.35176312064192e-05,0.0436170828975525,"BP"
"GO:0001936","regulation of endothelial cell proliferation",9,89,273,4.79948141745895,0.000104579539577616,0.0514039195712095,"BP"
"GO:0061028","establishment of endothelial barrier",6,38,273,7.49392712550607,0.000129691783066404,0.0602058077390487,"BP"
"GO:0001885","endothelial cell development",7,55,273,6.04055944055944,0.000145893923146777,0.0641626116744458,"BP"
"GO:0030949","positive regulation of vascular endothelial growth factor receptor signaling pathway",4,14,273,13.5604395604396,0.00016335644686261,0.0682503234991983,"BP"
"GO:0002474","antigen processing and presentation of peptide antigen via MHC class I",6,41,273,6.94559099437148,0.000200348567697626,0.0771501421492996,"BP"
"GO:0090090","negative regulation of canonical Wnt signaling pathway",9,97,273,4.40364789849326,0.000203123878325107,0.0771501421492996,"BP"
"GO:0045603","positive regulation of endothelial cell differentiation",4,15,273,12.6564102564103,0.000219082039738571,0.0795934575676305,"BP"
"GO:0004714","transmembrane receptor protein tyrosine kinase activity",7,60,273,5.53717948717949,0.000253878701986949,0.0883921014084562,"MF"
"GO:0060841","venous blood vessel development",4,16,273,11.8653846153846,0.000287291207421026,0.0941156066425554,"BP"
"GO:0007369","gastrulation",11,148,273,3.52754677754678,0.000296315537361331,0.0941156066425554,"BP"
"GO:0005021","vascular endothelial growth factor-activated receptor activity",3,7,273,20.3406593406593,0.000304107393411799,0.0941156066425554,"MF"
"GO:0019955","cytokine binding",8,82,273,4.63039399624765,0.000324451640676103,0.0947903199987469,"MF"
"GO:0030178","negative regulation of Wnt signaling pathway",10,126,273,3.76678876678877,0.000328975500235,0.0947903199987469,"BP"
"GO:0045601","regulation of endothelial cell differentiation",5,30,273,7.91025641025641,0.000370377217178387,0.10316240089142,"BP"
"GO:0060840","artery development",8,84,273,4.52014652014652,0.000382752075099969,0.10317020450114,"BP"
"GO:0001946","lymphangiogenesis",4,18,273,10.5470085470085,0.000467240841308007,0.112792187393583,"BP"
"GO:0003159","morphogenesis of an endothelium",4,18,273,10.5470085470085,0.000467240841308007,0.112792187393583,"BP"
"GO:0036303","lymph vessel morphogenesis",4,18,273,10.5470085470085,0.000467240841308007,0.112792187393583,"BP"
"GO:0031994","insulin-like growth factor I binding",3,8,273,17.7980769230769,0.000478996148461925,0.112792187393583,"MF"
"GO:0001704","formation of primary germ layer",8,87,273,4.36427939876216,0.00048594049140366,0.112792187393583,"BP"
"GO:0050921","positive regulation of chemotaxis",9,111,273,3.84823284823285,0.000556202911019549,0.125611662823766,"BP"
"GO:0008514","organic anion transmembrane transporter activity",11,160,273,3.26298076923077,0.000576204665412125,0.126177857596857,"MF"
"GO:0043534","blood vessel endothelial cell migration",7,69,273,4.8149386845039,0.000603845393083495,0.126177857596857,"BP"
"GO:0048520","positive regulation of behavior",10,136,273,3.48981900452489,0.000604010807069682,0.126177857596857,"BP"
"GO:0072089","stem cell proliferation",11,163,273,3.20292590844738,0.000673195764960259,0.131588416784547,"BP"
"GO:0015175","neutral amino acid transmembrane transporter activity",5,34,273,6.97963800904977,0.000675168040213021,0.131588416784547,"MF"
"GO:0043542","endothelial cell migration",10,138,273,3.43924191750279,0.000677154370719902,0.131588416784547,"BP"
"GO:0002589","regulation of antigen processing and presentation of peptide antigen via MHC class I",3,9,273,15.8205128205128,0.000707319007398837,0.132888481421734,"BP"
"GO:0009299","mRNA transcription",4,20,273,9.49230769230769,0.000715651228336291,0.132888481421734,"BP"
"GO:0015804","neutral amino acid transport",5,35,273,6.78021978021978,0.00077429604539634,0.137659952241102,"BP"
"GO:0035924","cellular response to vascular endothelial growth factor stimulus",5,35,273,6.78021978021978,0.00077429604539634,0.137659952241102,"BP"
"GO:0050839","cell adhesion molecule binding",11,167,273,3.1262091202211,0.000823324642874002,0.139723195774289,"MF"
"GO:0030336","negative regulation of cell migration",12,194,273,2.93576526566217,0.000842598218658745,0.139723195774289,"BP"
"GO:0035050","embryonic heart tube development",7,73,273,4.55110642781876,0.000849122110774305,0.139723195774289,"BP"
"GO:0051767","nitric-oxide synthase biosynthetic process",4,21,273,9.04029304029304,0.00086950768073995,0.139723195774289,"BP"
"GO:0051769","regulation of nitric-oxide synthase biosynthetic process",4,21,273,9.04029304029304,0.00086950768073995,0.139723195774289,"BP"
"GO:0060828","regulation of canonical Wnt signaling pathway",11,170,273,3.0710407239819,0.000953307880374182,0.150298880158616,"BP"
"GO:0030858","positive regulation of epithelial cell differentiation",6,55,273,5.17762237762238,0.00100993116371859,0.156277496370973,"BP"
"GO:0034329","cell junction assembly",10,146,273,3.25079030558483,0.00104671986257257,0.159025294030116,"BP"
"GO:0048754","branching morphogenesis of an epithelial tube",11,175,273,2.9832967032967,0.00120746100087433,0.18017043077332,"BP"
"GO:0038084","vascular endothelial growth factor signaling pathway",4,23,273,8.25418060200669,0.00124456098444371,0.182448273438801,"BP"
"GO:0034311","diol metabolic process",3,11,273,12.9440559440559,0.00134655829671148,0.184456411923297,"BP"
"GO:0048845","venous blood vessel morphogenesis",3,11,273,12.9440559440559,0.00134655829671148,0.184456411923297,"BP"
"GO:0060856","establishment of blood-brain barrier",3,11,273,12.9440559440559,0.00134655829671148,0.184456411923297,"BP"
"GO:0070411","I-SMAD binding",3,11,273,12.9440559440559,0.00134655829671148,0.184456411923297,"MF"
"GO:0010594","regulation of endothelial cell migration",8,102,273,3.72247360482655,0.00139126796017001,0.187507017341623,"BP"
"GO:0001938","positive regulation of endothelial cell proliferation",6,59,273,4.82659713168188,0.00146347342671183,0.188135137747755,"BP"
"GO:0010595","positive regulation of endothelial cell migration",6,59,273,4.82659713168188,0.00146347342671183,0.188135137747755,"BP"
"GO:0048002","antigen processing and presentation of peptide antigen",6,59,273,4.82659713168188,0.00146347342671183,0.188135137747755,"BP"
"GO:0043550","regulation of lipid kinase activity",5,41,273,5.78799249530957,0.00161286493679941,0.204198475937817,"BP"
"GO:0034330","cell junction organization",11,182,273,2.86855452240068,0.00165469349781606,0.206367445787328,"BP"
"GO:0010632","regulation of epithelial cell migration",10,156,273,3.04240631163708,0.00172575388052199,0.208025780201519,"BP"
"GO:0002583","regulation of antigen processing and presentation of peptide antigen",3,12,273,11.8653846153846,0.00176757185187983,0.208025780201519,"BP"
"GO:0003157","endocardium development",3,12,273,11.8653846153846,0.00176757185187983,0.208025780201519,"BP"
"GO:2001028","positive regulation of endothelial cell chemotaxis",3,12,273,11.8653846153846,0.00176757185187983,0.208025780201519,"BP"
"GO:0019885","antigen processing and presentation of endogenous peptide antigen via MHC class I",3,13,273,10.9526627218935,0.00226225058298146,0.255450890153961,"BP"
"GO:0045351","type I interferon biosynthetic process",3,13,273,10.9526627218935,0.00226225058298146,0.255450890153961,"BP"
"GO:0046519","sphingoid metabolic process",3,13,273,10.9526627218935,0.00226225058298146,0.255450890153961,"BP"
"GO:0071897","DNA biosynthetic process",8,112,273,3.39010989010989,0.00252005708889245,0.280767960463804,"BP"
"GO:0043406","positive regulation of MAP kinase activity",10,165,273,2.87645687645688,0.00260755252805284,0.286693538479073,"BP"
"GO:0045216","cell-cell junction organization",10,167,273,2.84200829111009,0.00284557749310262,0.308800591329422,"BP"
