"ID","Title","Overlapping genes","GO group size","n","E","P.Value","adj.P.Val","ontology"
"GO:0042384","cilium assembly",46,181,296,11.124794684187,1.58257068785087e-35,1.32239606676819e-31,"BP"
"GO:0003341","cilium movement",27,42,296,28.1402027027027,1.07170758344429e-34,4.47759428363025e-31,"BP"
"GO:0035082","axoneme assembly",22,42,296,22.9290540540541,1.22053984459176e-25,3.0142329184017e-22,"BP"
"GO:0007018","microtubule-based movement",38,187,296,8.89517993929759,1.44290709353839e-25,3.0142329184017e-22,"BP"
"GO:0001578","microtubule bundle formation",22,65,296,14.8156964656965,1.80092761088463e-20,3.0097102233104e-17,"BP"
"GO:0070286","axonemal dynein complex assembly",13,18,296,31.6143018018018,2.74856189575344e-18,3.82783053348596e-15,"BP"
"GO:0003351","epithelial cilium movement",12,17,296,30.8990461049285,9.05051481462695e-17,1.0803728827289e-13,"BP"
"GO:0036158","outer dynein arm assembly",9,11,296,35.8148034398034,7.94000636923935e-14,8.2933366526705e-11,"BP"
"GO:0036159","inner dynein arm assembly",8,9,296,38.9099099099099,5.96175241506491e-13,5.53515590892026e-10,"BP"
"GO:0007368","determination of left/right symmetry",18,108,296,7.29560810810811,3.74846554635551e-11,3.13221781053466e-08,"BP"
"GO:0009855","determination of bilateral symmetry",18,117,296,6.73440748440748,1.48600076446382e-10,1.12882021707815e-07,"BP"
"GO:0009799","specification of symmetry",18,118,296,6.67733623453962,1.71775749102846e-10,1.19613179958615e-07,"BP"
"GO:0044458","motile cilium assembly",7,10,296,30.6415540540541,3.42507327008822e-10,2.20153171114286e-07,"BP"
"GO:0030317","sperm motility",13,65,296,8.75472972972973,2.01109628820134e-09,1.20033718458646e-06,"BP"
"GO:0003774","motor activity",15,111,296,5.91535792549306,3.20105002328802e-08,1.78319826630632e-05,"MF"
"GO:0001539","cilium or flagellum-dependent cell motility",6,13,296,20.2032224532225,2.02648465276981e-07,9.96076809326148e-05,"BP"
"GO:0060285","cilium-dependent cell motility",6,13,296,20.2032224532225,2.02648465276981e-07,9.96076809326148e-05,"BP"
"GO:0021591","ventricular system development",8,30,296,11.672972972973,2.55138208585142e-07,0.000118440826163191,"BP"
"GO:0003777","microtubule motor activity",10,59,296,7.41926248282181,7.76667014653453e-07,0.000341569977602329,"MF"
"GO:0071907","determination of digestive tract left/right asymmetry",4,7,296,25.0135135135135,8.84882481223961e-06,0.00369703900655371,"BP"
"GO:0001736","establishment of planar polarity",8,48,296,7.29560810810811,1.1507934267838e-05,0.00457906184485974,"BP"
"GO:0007164","establishment of tissue polarity",8,49,296,7.14671814671815,1.34836692598119e-05,0.00512134274249945,"BP"
"GO:0001738","morphogenesis of a polarized epithelium",8,61,296,5.74080638015064,6.94461764696589e-05,0.0252300978513248,"BP"
"GO:0003352","regulation of cilium movement",4,11,296,15.9176904176904,7.75922022694184e-05,0.0268488009415386,"BP"
