"ID","Title","Overlapping genes","GO group size","n","E","P.Value","adj.P.Val","ontology"
"GO:0042133","neurotransmitter metabolic process",6,25,244,12.7445901639344,5.50104140086009e-06,0.0340608149615435,"BP"
"GO:0001508","action potential",11,116,244,5.03557801017524,1.16245582714028e-05,0.0340608149615435,"BP"
"GO:0050806","positive regulation of synaptic transmission",12,139,244,4.58438495105555,1.22286315084527e-05,0.0340608149615435,"BP"
"GO:0015081","sodium ion transmembrane transporter activity",10,119,244,4.46239151398264,8.23018560053389e-05,0.132143537400374,"MF"
"GO:0098900","regulation of action potential",6,40,244,7.96536885245902,9.41249751192056e-05,0.132143537400374,"BP"
"GO:0001505","regulation of neurotransmitter levels",11,150,244,3.89418032786885,0.000125610418464908,0.132143537400374,"BP"
"GO:0008291","acetylcholine metabolic process",3,6,244,26.5512295081967,0.000126513678698299,0.132143537400374,"BP"
"GO:1900619","acetate ester metabolic process",3,6,244,26.5512295081967,0.000126513678698299,0.132143537400374,"BP"
"GO:0007613","memory",9,108,244,4.42520491803279,0.000198863203064473,0.179191493439449,"BP"
"GO:0097485","neuron projection guidance",12,188,244,3.38951866062086,0.000231867825444461,0.179191493439449,"BP"
"GO:0051966","regulation of synaptic transmission, glutamatergic",6,47,244,6.77903732124172,0.000235891147419093,0.179191493439449,"BP"
"GO:0007215","glutamate receptor signaling pathway",7,68,244,5.46642960462874,0.000281007098850949,0.195674609833211,"BP"
"GO:0007270","neuron-neuron synaptic transmission",10,140,244,3.79303278688525,0.000314580317314493,0.202202548575377,"BP"
"GO:0048265","response to pain",5,34,244,7.80918514946962,0.000404770248073042,0.241590013778453,"BP"
"GO:0042136","neurotransmitter biosynthetic process",3,9,244,17.7008196721311,0.00050950065465078,0.283825831350794,"BP"
"GO:0005244","voltage-gated ion channel activity",11,182,244,3.20948928121059,0.000666005475826628,0.315661685891526,"MF"
"GO:0022832","voltage-gated channel activity",11,182,244,3.20948928121059,0.000666005475826628,0.315661685891526,"MF"
"GO:0021892","cerebral cortex GABAergic interneuron differentiation",3,10,244,15.930737704918,0.00071775634657001,0.315661685891526,"BP"
"GO:0060405","regulation of penile erection",3,10,244,15.930737704918,0.00071775634657001,0.315661685891526,"BP"
"GO:0007411","axon guidance",11,187,244,3.12367405978785,0.000833594311021823,0.348275703144918,"BP"
"GO:0033555","multicellular organismal response to stress",7,82,244,4.53313674530188,0.000882038392655368,0.350967276620393,"BP"
"GO:0035637","multicellular organismal signaling",8,109,244,3.89742818468943,0.00104383697589773,0.396468262300066,"BP"
"GO:0007620","copulation",4,25,244,8.49639344262295,0.00113682910230403,0.41301495560228,"BP"
"GO:0097154","GABAergic neuron differentiation",3,13,244,12.2544136191677,0.00164053743118129,0.521385073729278,"BP"
"GO:0016595","glutamate binding",3,13,244,12.2544136191677,0.00164053743118129,0.521385073729278,"MF"
"GO:1990138","neuron projection extension",9,147,244,3.25117096018735,0.001858561670931,0.521385073729278,"BP"
"GO:0015370","solute:sodium symporter activity",5,48,244,5.53150614754098,0.00201139732503036,0.521385073729278,"MF"
"GO:0071805","potassium ion transmembrane transport",9,149,244,3.20753108152712,0.00203913713291958,0.521385073729278,"BP"
"GO:0022843","voltage-gated cation channel activity",9,149,244,3.20753108152712,0.00203913713291958,0.521385073729278,"MF"
"GO:0007210","serotonin receptor signaling pathway",3,14,244,11.3790983606557,0.00205908418299021,0.521385073729278,"BP"
"GO:0045760","positive regulation of action potential",3,14,244,11.3790983606557,0.00205908418299021,0.521385073729278,"BP"
"GO:0004993","G-protein coupled serotonin receptor activity",3,14,244,11.3790983606557,0.00205908418299021,0.521385073729278,"MF"
"GO:0099589","serotonin receptor activity",3,14,244,11.3790983606557,0.00205908418299021,0.521385073729278,"MF"
"GO:0071804","cellular potassium ion transport",9,150,244,3.18614754098361,0.00213453198062434,0.524592624414618,"BP"
"GO:0045600","positive regulation of fat cell differentiation",5,49,244,5.41861826697892,0.00220613343337036,0.526698599121221,"BP"
"GO:0048640","negative regulation of developmental growth",7,98,244,3.79303278688525,0.0024911295349742,0.527563716683189,"BP"
"GO:0035249","synaptic transmission, glutamatergic",6,73,244,4.36458567258028,0.00249135935891688,0.527563716683189,"BP"
"GO:0043084","penile erection",3,15,244,10.6204918032787,0.00253829644560756,0.527563716683189,"BP"
"GO:0048172","regulation of short-term neuronal synaptic plasticity",3,15,244,10.6204918032787,0.00253829644560756,0.527563716683189,"BP"
"GO:0086009","membrane repolarization",4,31,244,6.85193019566367,0.00258857256869444,0.527563716683189,"BP"
"GO:1900449","regulation of glutamate receptor signaling pathway",4,31,244,6.85193019566367,0.00258857256869444,0.527563716683189,"BP"
"GO:0006814","sodium ion transport",10,187,244,2.83970369071623,0.00287436207936053,0.571861179408014,"BP"
"GO:0014051","gamma-aminobutyric acid secretion",3,16,244,9.95671106557377,0.00308093712777858,0.580123305778334,"BP"
"GO:0032230","positive regulation of synaptic transmission, GABAergic",3,16,244,9.95671106557377,0.00308093712777858,0.580123305778334,"BP"
"GO:0045471","response to ethanol",5,53,244,5.00966594494278,0.0031241681139331,0.580123305778334,"BP"
"GO:0032228","regulation of synaptic transmission, GABAergic",4,33,244,6.43666169895678,0.00326896212325451,0.593814076128581,"BP"
"GO:0019228","neuronal action potential",4,35,244,6.06885245901639,0.00406192525674963,0.682956097262245,"BP"
"GO:0010771","negative regulation of cell morphogenesis involved in differentiation",7,108,244,3.44182604735883,0.00428781009394808,0.682956097262245,"BP"
"GO:0051427","hormone receptor binding",8,137,244,3.10087351920546,0.00438717939393829,0.682956097262245,"MF"
"GO:0051705","multi-organism behavior",6,82,244,3.88554578168733,0.00445630385472134,0.682956097262245,"BP"
"GO:0086010","membrane depolarization during action potential",4,36,244,5.90027322404372,0.00450318346234434,0.682956097262245,"BP"
"GO:0015079","potassium ion transmembrane transporter activity",8,138,244,3.0784034212402,0.00458347496868014,0.682956097262245,"MF"
"GO:0051057","positive regulation of small GTPase mediated signal transduction",4,37,244,5.74080638015064,0.00497561483665226,0.682956097262245,"BP"
"GO:0086001","cardiac muscle cell action potential",4,37,244,5.74080638015064,0.00497561483665226,0.682956097262245,"BP"
"GO:0042713","sperm ejaculation",2,6,244,17.7008196721311,0.00503955763859918,0.682956097262245,"BP"
"GO:1900028","negative regulation of ruffle assembly",2,6,244,17.7008196721311,0.00503955763859918,0.682956097262245,"BP"
"GO:0033265","choline binding",2,6,244,17.7008196721311,0.00503955763859918,0.682956097262245,"MF"
"GO:0003924","GTPase activity",9,171,244,2.79486626402071,0.00510143466771681,0.682956097262245,"MF"
"GO:0010661","positive regulation of muscle cell apoptotic process",3,19,244,8.38459879206212,0.00511380546372783,0.682956097262245,"BP"
"GO:0015812","gamma-aminobutyric acid transport",3,19,244,8.38459879206212,0.00511380546372783,0.682956097262245,"BP"
"GO:0004970","ionotropic glutamate receptor activity",3,19,244,8.38459879206212,0.00511380546372783,0.682956097262245,"MF"
"GO:0005234","extracellular-glutamate-gated ion channel activity",3,19,244,8.38459879206212,0.00511380546372783,0.682956097262245,"MF"
"GO:0007631","feeding behavior",7,112,244,3.31890368852459,0.00523087484738914,0.682956097262245,"BP"
"GO:0044325","ion channel binding",7,112,244,3.31890368852459,0.00523087484738914,0.682956097262245,"MF"
"GO:0007189","adenylate cyclase-activating G-protein coupled receptor signaling pathway",5,60,244,4.42520491803279,0.00534712125179872,0.685000650435471,"BP"
"GO:0008227","G-protein coupled amine receptor activity",4,38,244,5.58973252804141,0.00548018118060213,0.685000650435471,"MF"
"GO:0051899","membrane depolarization",6,86,244,3.70482272207396,0.00562388887031237,0.685000650435471,"BP"
"GO:0002931","response to ischemia",3,20,244,7.96536885245902,0.00593351289933921,0.685000650435471,"BP"
"GO:2000311","regulation of alpha-amino-3-hydroxy-5-methyl-4-isoxazole propionate selective glutamate receptor activity",3,20,244,7.96536885245902,0.00593351289933921,0.685000650435471,"BP"
"GO:0045907","positive regulation of vasoconstriction",4,39,244,5.44640605296343,0.00601781915268696,0.685000650435471,"BP"
"GO:0005267","potassium channel activity",7,115,244,3.23232359230221,0.00603451581534069,0.685000650435471,"MF"
"GO:0034644","cellular response to UV",5,62,244,4.28245637228979,0.0061466389894519,0.685000650435471,"BP"
"GO:0048675","axon extension",7,116,244,3.20445873374788,0.00632185927379172,0.685000650435471,"BP"
"GO:0045778","positive regulation of ossification",6,89,244,3.57994105728495,0.00663583204157951,0.685000650435471,"BP"
"GO:0021895","cerebral cortex neuron differentiation",3,21,244,7.58606557377049,0.00682733214324103,0.685000650435471,"BP"
"GO:0048266","behavioral response to pain",3,21,244,7.58606557377049,0.00682733214324103,0.685000650435471,"BP"
"GO:0008483","transaminase activity",3,21,244,7.58606557377049,0.00682733214324103,0.685000650435471,"MF"
"GO:0014054","positive regulation of gamma-aminobutyric acid secretion",2,7,244,15.172131147541,0.00696805352884335,0.685000650435471,"BP"
"GO:0032226","positive regulation of synaptic transmission, dopaminergic",2,7,244,15.172131147541,0.00696805352884335,0.685000650435471,"BP"
"GO:0034983","peptidyl-lysine deacetylation",2,7,244,15.172131147541,0.00696805352884335,0.685000650435471,"BP"
"GO:0086016","AV node cell action potential",2,7,244,15.172131147541,0.00696805352884335,0.685000650435471,"BP"
"GO:0086027","AV node cell to bundle of His cell signaling",2,7,244,15.172131147541,0.00696805352884335,0.685000650435471,"BP"
"GO:0086067","AV node cell to bundle of His cell communication",2,7,244,15.172131147541,0.00696805352884335,0.685000650435471,"BP"
"GO:0008093","cytoskeletal adaptor activity",2,7,244,15.172131147541,0.00696805352884335,0.685000650435471,"MF"
"GO:0098632","protein binding involved in cell-cell adhesion",2,7,244,15.172131147541,0.00696805352884335,0.685000650435471,"MF"
"GO:0035235","ionotropic glutamate receptor signaling pathway",3,22,244,7.24124441132638,0.00779683276707335,0.726694812923061,"BP"
"GO:0051968","positive regulation of synaptic transmission, glutamatergic",3,22,244,7.24124441132638,0.00779683276707335,0.726694812923061,"BP"
"GO:0050998","nitric-oxide synthase binding",3,22,244,7.24124441132638,0.00779683276707335,0.726694812923061,"MF"
"GO:0051954","positive regulation of amine transport",4,42,244,5.05737704918033,0.00783813206762415,0.726694812923061,"BP"
"GO:0061337","cardiac conduction",4,42,244,5.05737704918033,0.00783813206762415,0.726694812923061,"BP"
"GO:0019233","sensory perception of pain",7,121,244,3.07204308359301,0.00791398132790792,0.726694812923061,"BP"
"GO:0031345","negative regulation of cell projection organization",8,153,244,2.77659916425587,0.00841301574122759,0.749037449199193,"BP"
"GO:0030516","regulation of axon extension",6,94,244,3.38951866062086,0.00860670097500049,0.749037449199193,"BP"
"GO:0016769","transferase activity, transferring nitrogenous groups",3,23,244,6.92640769779045,0.00884341374974212,0.749037449199193,"MF"
"GO:0015718","monocarboxylic acid transport",7,124,244,2.99771946060286,0.00900112214607079,0.749037449199193,"BP"
"GO:0030816","positive regulation of cAMP metabolic process",5,68,244,3.90459257473481,0.00904399595554829,0.749037449199193,"BP"
"GO:0043524","negative regulation of neuron apoptotic process",8,155,244,2.74077207826547,0.00906437792344435,0.749037449199193,"BP"
"GO:0032224","positive regulation of synaptic transmission, cholinergic",2,8,244,13.2756147540984,0.00917592071562017,0.749037449199193,"BP"
"GO:0060406","positive regulation of penile erection",2,8,244,13.2756147540984,0.00917592071562017,0.749037449199193,"BP"
"GO:0070474","positive regulation of uterine smooth muscle contraction",2,8,244,13.2756147540984,0.00917592071562017,0.749037449199193,"BP"
"GO:1904338","regulation of dopaminergic neuron differentiation",2,8,244,13.2756147540984,0.00917592071562017,0.749037449199193,"BP"
"GO:2000381","negative regulation of mesoderm development",2,8,244,13.2756147540984,0.00917592071562017,0.749037449199193,"BP"
"GO:0051932","synaptic transmission, GABAergic",4,44,244,4.82749627421759,0.00923298914163677,0.749037449199193,"BP"
"GO:0046717","acid secretion",6,96,244,3.31890368852459,0.00950167455753595,0.763423005795869,"BP"
"GO:0019842","vitamin binding",5,69,244,3.84800427655025,0.00960468868239218,0.764350272667325,"MF"
"GO:0043014","alpha-tubulin binding",3,24,244,6.63780737704918,0.00996831086660403,0.779935391243774,"MF"
"GO:0035254","glutamate receptor binding",4,45,244,4.72021857923497,0.00998720522535708,0.779935391243774,"MF"
"GO:0060306","regulation of membrane repolarization",3,25,244,6.37229508196721,0.0111726038344631,0.834476964889755,"BP"
"GO:0035255","ionotropic glutamate receptor binding",3,25,244,6.37229508196721,0.0111726038344631,0.834476964889755,"MF"
"GO:0071855","neuropeptide receptor binding",3,25,244,6.37229508196721,0.0111726038344631,0.834476964889755,"MF"
"GO:0019226","transmission of nerve impulse",5,72,244,3.68767076502732,0.0114293447189297,0.834476964889755,"BP"
"GO:0071482","cellular response to light stimulus",5,72,244,3.68767076502732,0.0114293447189297,0.834476964889755,"BP"
"GO:0007618","mating",4,47,244,4.51935821416114,0.0116129017167568,0.834476964889755,"BP"
"GO:0002118","aggressive behavior",2,9,244,11.8005464480874,0.01165204073304,0.834476964889755,"BP"
"GO:0001206","transcriptional repressor activity, RNA polymerase II distal enhancer sequence-specific binding",2,9,244,11.8005464480874,0.01165204073304,0.834476964889755,"MF"
"GO:0030326","embryonic limb morphogenesis",7,131,244,2.83753597797522,0.0119587857519108,0.834476964889755,"BP"
"GO:0035113","embryonic appendage morphogenesis",7,131,244,2.83753597797522,0.0119587857519108,0.834476964889755,"BP"
"GO:0006813","potassium ion transport",9,196,244,2.43837822014051,0.0119908582333266,0.834476964889755,"BP"
"GO:0007586","digestion",6,101,244,3.15460152572634,0.0120265143648905,0.834476964889755,"BP"
"GO:0048813","dendrite morphogenesis",7,132,244,2.81603949329359,0.0124324291484051,0.834476964889755,"BP"
"GO:0001958","endochondral ossification",3,26,244,6.12720680958386,0.012457223219398,0.834476964889755,"BP"
"GO:0036075","replacement ossification",3,26,244,6.12720680958386,0.012457223219398,0.834476964889755,"BP"
"GO:0048843","negative regulation of axon extension involved in axon guidance",3,26,244,6.12720680958386,0.012457223219398,0.834476964889755,"BP"
"GO:0019933","cAMP-mediated signaling",4,48,244,4.42520491803279,0.0124857657523682,0.834476964889755,"BP"
"GO:0030170","pyridoxal phosphate binding",4,48,244,4.42520491803279,0.0124857657523682,0.834476964889755,"MF"
"GO:0010469","regulation of receptor activity",6,102,244,3.12367405978785,0.0125830657702381,0.834476964889755,"BP"
