"ID","Title","Overlapping genes","GO group size","n","E","P.Value","adj.P.Val","ontology"
"GO:1990266","neutrophil migration",25,79,350,11.7151898734177,1.74315739533056e-20,1.34681141014457e-16,"BP"
"GO:0097529","myeloid leukocyte migration",31,138,350,8.31608695652174,3.22357924879026e-20,1.34681141014457e-16,"BP"
"GO:0030593","neutrophil chemotaxis",23,70,350,12.1637142857143,2.32175656429574e-19,5.09192399978823e-16,"BP"
"GO:0097530","granulocyte migration",26,96,350,10.02625,2.43749353747642e-19,5.09192399978823e-16,"BP"
"GO:0002274","myeloid leukocyte activation",30,149,350,7.45369127516779,3.631752597884e-18,6.06938494158375e-15,"BP"
"GO:0030595","leukocyte chemotaxis",30,151,350,7.35496688741722,5.39557048101554e-18,7.51423115656098e-15,"BP"
"GO:0071621","granulocyte chemotaxis",23,86,350,9.9006976744186,4.13469749874754e-17,4.93564747136206e-14,"BP"
"GO:0050715","positive regulation of cytokine secretion",23,98,350,8.68836734693877,9.57338467189137e-16,9.99940028979054e-13,"BP"
"GO:0050663","cytokine secretion",26,158,350,6.09189873417722,1.06720671734142e-13,9.90842147789437e-11,"BP"
"GO:0070098","chemokine-mediated signaling pathway",15,43,350,12.9139534883721,1.68552710629933e-13,1.40842645002372e-10,"BP"
"GO:0032760","positive regulation of tumor necrosis factor production",17,63,350,9.98952380952381,4.82844438710097e-13,3.66786193623779e-10,"BP"
"GO:1903557","positive regulation of tumor necrosis factor superfamily cytokine production",17,64,350,9.8334375,6.41516816482948e-13,4.46709543210959e-10,"BP"
"GO:0002275","myeloid cell activation involved in immune response",17,67,350,9.39313432835821,1.45643072233719e-12,9.36148855065352e-10,"BP"
"GO:0006909","phagocytosis",23,138,350,6.17,2.22833043003863e-12,1.32999493381448e-09,"BP"
"GO:0008009","chemokine activity",12,28,350,15.8657142857143,2.58180707190606e-12,1.43823865952314e-09,"MF"
"GO:0050707","regulation of cytokine secretion",23,141,350,6.03872340425532,3.54621132088278e-12,1.85200886233103e-09,"BP"
"GO:0032675","regulation of interleukin-6 production",20,104,350,7.11923076923077,4.03622030934196e-12,1.98392099440361e-09,"BP"
"GO:0002444","myeloid leukocyte mediated immunity",17,72,350,8.74083333333333,5.17999268965762e-12,2.40466771748773e-09,"BP"
"GO:0002685","regulation of leukocyte migration",23,146,350,5.83191780821918,7.48637107325003e-12,3.29242719410933e-09,"BP"
"GO:0032635","interleukin-6 production",20,108,350,6.85555555555556,8.40608837868281e-12,3.51206372461368e-09,"BP"
"GO:0002687","positive regulation of leukocyte migration",19,108,350,6.51277777777778,7.2016960761121e-11,2.73533510963603e-08,"BP"
"GO:0032680","regulation of tumor necrosis factor production",19,108,350,6.51277777777778,7.2016960761121e-11,2.73533510963603e-08,"BP"
"GO:0032640","tumor necrosis factor production",19,109,350,6.45302752293578,8.50999824482247e-11,2.99643766738945e-08,"BP"
"GO:0071216","cellular response to biotic stimulus",23,164,350,5.19182926829268,8.60633126105155e-11,2.99643766738945e-08,"BP"
"GO:1903555","regulation of tumor necrosis factor superfamily cytokine production",19,110,350,6.39436363636364,1.0036712958864e-10,3.35467093937071e-08,"BP"
"GO:0050729","positive regulation of inflammatory response",18,98,350,6.79959183673469,1.09272348837186e-10,3.51184518032127e-08,"BP"
"GO:0071706","tumor necrosis factor superfamily cytokine production",19,111,350,6.33675675675676,1.18151012052351e-10,3.65655502484979e-08,"BP"
"GO:0042379","chemokine receptor binding",12,38,350,11.6905263157895,1.80104806580497e-10,5.32227570443261e-08,"MF"
"GO:1903036","positive regulation of response to wounding",21,141,350,5.5136170212766,1.84712775764176e-10,5.32227570443261e-08,"BP"
"GO:0005125","cytokine activity",22,156,350,5.22076923076923,2.00224060530824e-10,5.57690749931855e-08,"MF"
"GO:0002703","regulation of leukocyte mediated immunity",22,157,350,5.18751592356688,2.27190664005396e-10,5.96976488946188e-08,"BP"
"GO:0045576","mast cell activation",14,57,350,9.09263157894737,2.2861713315316e-10,5.96976488946188e-08,"BP"
"GO:0071219","cellular response to molecule of bacterial origin",21,147,350,5.28857142857143,4.08897029279519e-10,1.03537684141202e-07,"BP"
"GO:0070374","positive regulation of ERK1 and ERK2 cascade",21,149,350,5.21758389261745,5.28034911967341e-10,1.29772344835268e-07,"BP"
"GO:0050764","regulation of phagocytosis",15,74,350,7.50405405405405,9.4835621247072e-10,2.26413271754438e-07,"BP"
"GO:0002429","immune response-activating cell surface receptor signaling pathway",18,114,350,5.84526315789474,1.43550867523311e-09,3.33197513617995e-07,"BP"
