"ID","Title","Overlapping genes","GO group size","n","E","P.Value","adj.P.Val","ontology"
"GO:0022843","voltage-gated cation channel activity",14,149,193,6.30795980109191,4.61789768798871e-08,0.000243385838229547,"MF"
"GO:0005244","voltage-gated ion channel activity",15,182,193,5.53308090872858,8.73812248310964e-08,0.000243385838229547,"MF"
"GO:0022832","voltage-gated channel activity",15,182,193,5.53308090872858,8.73812248310964e-08,0.000243385838229547,"MF"
"GO:0007188","adenylate cyclase-modulating G-protein coupled receptor signaling pathway",12,122,193,6.60341459271214,2.63256821163935e-07,0.00054994349941146,"BP"
"GO:0007187","G-protein coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger",12,134,193,6.01206403217075,7.31363375714517e-07,0.0012222544734941,"BP"
"GO:0015079","potassium ion transmembrane transporter activity",12,138,193,5.83780130660059,1.00340437911179e-06,0.00139740783197635,"MF"
"GO:0035249","synaptic transmission, glutamatergic",9,73,193,8.27688267442686,1.27814133181553e-06,0.00141944947893042,"BP"
"GO:0006813","potassium ion transport",14,196,193,4.79533678756477,1.35897508753511e-06,0.00141944947893042,"BP"
"GO:0071805","potassium ion transmembrane transport",12,149,193,5.40682268665021,2.26697297788956e-06,0.0020324907134693,"BP"
"GO:0071804","cellular potassium ion transport",12,150,193,5.37077720207254,2.43237280214134e-06,0.0020324907134693,"BP"
"GO:0005249","voltage-gated potassium channel activity",9,87,193,6.94497051992139,5.64443276105928e-06,0.00428771637740103,"MF"
"GO:0005267","potassium channel activity",10,115,193,5.83780130660058,8.18725447611449e-06,0.00570105820020105,"MF"
"GO:0007612","learning",11,145,193,5.09297838127568,1.07401111583314e-05,0.00690341298761668,"BP"
"GO:0006941","striated muscle contraction",10,125,193,5.37077720207254,1.71305286602922e-05,0.0102244783918144,"BP"
"GO:0007193","adenylate cyclase-inhibiting G-protein coupled receptor signaling pathway",7,60,193,7.83238341968912,2.89118366535684e-05,0.0152102299730047,"BP"
"GO:0051952","regulation of amine transport",8,82,193,6.54972829521041,2.912442311729e-05,0.0152102299730047,"BP"
"GO:0044325","ion channel binding",9,112,193,5.39475388601036,4.39235307817933e-05,0.0208047885715001,"MF"
"GO:0015837","amine transport",8,87,193,6.17330712881901,4.48164425905937e-05,0.0208047885715001,"BP"
"GO:0051966","regulation of synaptic transmission, glutamatergic",6,47,193,8.57038915224341,6.52835568700619e-05,0.0287110211161177,"BP"
"GO:0019233","sensory perception of pain",9,121,193,4.99349120027405,8.05063369169195e-05,0.033635547563889,"BP"
"GO:1903115","regulation of actin filament-based movement",5,31,193,10.8281798428882,8.63435160836367e-05,0.0343564962092794,"BP"
"GO:0060048","cardiac muscle contraction",8,97,193,5.53688371347684,9.76568270202987e-05,0.0370918384809825,"BP"
"GO:0001640","adenylate cyclase inhibiting G-protein coupled glutamate receptor activity",3,7,193,28.7720207253886,0.000108981111868617,0.0395933117727896,"MF"
"GO:0046928","regulation of neurotransmitter secretion",6,54,193,7.4594127806563,0.0001440340845583,0.0464854715442805,"BP"
"GO:0050951","sensory perception of temperature stimulus",4,19,193,14.1336242159804,0.00015522312394665,0.0464854715442805,"BP"
"GO:2000727","positive regulation of cardiac muscle cell differentiation",4,19,193,14.1336242159804,0.00015522312394665,0.0464854715442805,"BP"
"GO:0009582","detection of abiotic stimulus",8,104,193,5.16420884814667,0.000159301769412825,0.0464854715442805,"BP"
"GO:0009581","detection of external stimulus",8,105,193,5.11502590673575,0.000170273512588495,0.0464854715442805,"BP"
"GO:2001257","regulation of cation channel activity",7,79,193,5.94864563520693,0.000171034360535101,0.0464854715442805,"BP"
"GO:0005516","calmodulin binding",10,164,193,4.09358018450651,0.000171636333761187,0.0464854715442805,"MF"
"GO:0032353","negative regulation of hormone biosynthetic process",3,8,193,25.175518134715,0.000172456871454368,0.0464854715442805,"BP"
"GO:0032412","regulation of ion transmembrane transporter activity",10,165,193,4.06877060763071,0.000180382751218464,0.0471024459119214,"BP"
"GO:0017158","regulation of calcium ion-dependent exocytosis",6,57,193,7.06681210799018,0.000195028361151172,0.049383545023612,"BP"
"GO:0022898","regulation of transmembrane transporter activity",10,170,193,3.94910088387687,0.000229953782044002,0.0562599325773455,"BP"
"GO:0007270","neuron-neuron synaptic transmission",9,140,193,4.31580310880829,0.000244949936916546,0.0562599325773455,"BP"
"GO:0043500","muscle adaptation",7,84,193,5.59455958549223,0.000251049660156804,0.0562599325773455,"BP"
"GO:0032351","negative regulation of hormone metabolic process",3,9,193,22.3782383419689,0.000255849382233022,0.0562599325773455,"BP"
"GO:0061051","positive regulation of cell growth involved in cardiac muscle cell development",3,9,193,22.3782383419689,0.000255849382233022,0.0562599325773455,"BP"
"GO:0051155","positive regulation of striated muscle cell differentiation",6,61,193,6.60341459271214,0.000284074125663791,0.0608647024114522,"BP"
"GO:0009612","response to mechanical stimulus",8,115,193,4.67024104528047,0.000318346464706131,0.0665025764771107,"BP"
"GO:0051588","regulation of neurotransmitter transport",6,64,193,6.29387953367876,0.000369677229280561,0.0753420226309357,"BP"
"GO:0017157","regulation of exocytosis",9,150,193,4.0280829015544,0.000408530659297213,0.0803854283606015,"BP"
"GO:0032409","regulation of transporter activity",10,183,193,3.66856366261785,0.000414804459141722,0.0803854283606015,"BP"
"GO:0042596","fear response",5,43,193,7.80636221231474,0.000423283729998381,0.0803854283606015,"BP"
"GO:0055021","regulation of cardiac muscle tissue growth",5,44,193,7.62894488930758,0.000471840783476773,0.0861476696450951,"BP"
"GO:0003300","cardiac muscle hypertrophy",6,67,193,6.01206403217075,0.000474245189525416,0.0861476696450951,"BP"
"GO:0014897","striated muscle hypertrophy",6,70,193,5.75440414507772,0.00060053685957267,0.102969558084415,"BP"
"GO:0005057","receptor signaling protein activity",8,127,193,4.22895842682877,0.000620055950792331,0.102969558084415,"MF"
"GO:0055023","positive regulation of cardiac muscle tissue growth",4,27,193,9.94588370754174,0.000640308910204729,0.102969558084415,"BP"
"GO:0086004","regulation of cardiac muscle cell contraction",4,27,193,9.94588370754174,0.000640308910204729,0.102969558084415,"BP"
"GO:0045499","chemorepellent activity",4,27,193,9.94588370754174,0.000640308910204729,0.102969558084415,"MF"
"GO:0050433","regulation of catecholamine secretion",5,47,193,7.14199096020284,0.000642848056716073,0.102969558084415,"BP"
"GO:0006937","regulation of muscle contraction",8,128,193,4.19591968911917,0.000653109930406176,0.102969558084415,"BP"
"GO:0009187","cyclic nucleotide metabolic process",9,161,193,3.75287226852895,0.000683126841095349,0.103959508976607,"BP"
"GO:1903305","regulation of regulated secretory pathway",7,99,193,4.74689904223583,0.000684271540655026,0.103959508976607,"BP"
"GO:0014896","muscle hypertrophy",6,72,193,5.59455958549223,0.000698245851490853,0.104188255983171,"BP"
"GO:0002026","regulation of the force of heart contraction",4,28,193,9.59067357512953,0.000738395988045865,0.108246260984408,"BP"
"GO:0045600","positive regulation of fat cell differentiation",5,49,193,6.85048112509252,0.000780174389451585,0.112398917211335,"BP"
"GO:0021680","cerebellar Purkinje cell layer development",4,29,193,9.25996069322852,0.000846647584944279,0.113245895465022,"BP"
"GO:2000725","regulation of cardiac muscle cell differentiation",4,29,193,9.25996069322852,0.000846647584944279,0.113245895465022,"BP"
"GO:0050432","catecholamine secretion",5,50,193,6.71347150259067,0.000856515789900933,0.113245895465022,"BP"
"GO:0050982","detection of mechanical stimulus",5,50,193,6.71347150259067,0.000856515789900933,0.113245895465022,"BP"
"GO:0007269","neurotransmitter secretion",7,103,193,4.56255344836259,0.000866442074343433,0.113245895465022,"BP"
"GO:0060078","regulation of postsynaptic membrane potential",6,75,193,5.37077720207254,0.000867369232857994,0.113245895465022,"BP"
"GO:0060420","regulation of heart growth",5,51,193,6.58183480646144,0.000938286911091933,0.12062039121668,"BP"
"GO:0060421","positive regulation of heart growth",4,30,193,8.95129533678756,0.000965624568991366,0.122253922704422,"BP"
"GO:0006165","nucleoside diphosphate phosphorylation",6,77,193,5.2312764955252,0.000996552843579811,0.124286500909745,"BP"
"GO:0021953","central nervous system neuron differentiation",9,171,193,3.53340605399509,0.00104899916088337,0.127077619318743,"BP"
"GO:0048148","behavioral response to cocaine",3,14,193,14.3860103626943,0.00104934846014759,0.127077619318743,"BP"
"GO:0050806","positive regulation of synaptic transmission",8,139,193,3.86386849069967,0.00111965666402243,0.133655015493877,"BP"
"GO:0050773","regulation of dendrite development",8,141,193,3.80906184544152,0.00122766640184721,0.14448423174416,"BP"
"GO:0099531","presynaptic process involved in synaptic transmission",7,110,193,4.27220913801225,0.00127546766111922,0.144710073013673,"BP"
"GO:0061050","regulation of cell growth involved in cardiac muscle cell development",3,15,193,13.4269430051813,0.00129736597886723,0.144710073013673,"BP"
"GO:0030955","potassium ion binding",3,15,193,13.4269430051813,0.00129736597886723,0.144710073013673,"MF"
"GO:0030048","actin filament-based movement",6,81,193,4.97294185377087,0.00129885776400496,0.144710073013673,"BP"
"GO:0007416","synapse assembly",7,111,193,4.23372076739952,0.00134449293769812,0.146933427384044,"BP"
"GO:0033555","multicellular organismal response to stress",6,82,193,4.91229622140781,0.00138434222082268,0.146933427384044,"BP"
"GO:0046939","nucleotide phosphorylation",6,82,193,4.91229622140781,0.00138434222082268,0.146933427384044,"BP"
